Fig 1E,,,
Item,Group,Day0_27,Mean_sem
SD,O,D0,NaN¡ÀNA
SD,O,D1,15.93¡À2.07
SD,O,D2,15.24¡À1.53
SD,O,D3,14.76¡À1.81
SD,O,D4,14.58¡À1.45
SD,O,D5,15.31¡À1.71
SD,O,D6,15.01¡À1.86
SD,O,D7,12.72¡À1.63
SD,O,D8,12.90¡À1.02
SD,O,D9,14.61¡À1.84
SD,O,D10,14.33¡À1.28
SD,O,D11,13.36¡À1.70
SD,O,D12,14.40¡À2.32
SD,O,D13,15.03¡À1.33
SD,O,D14,NaN¡ÀNA
SD,O,D15,16.62¡À1.53
SD,O,D16,14.86¡À1.53
SD,O,D17,11.48¡À1.14
SD,O,D18,13.89¡À1.76
SD,O,D19,15.31¡À2.14
SD,O,D20,13.56¡À1.88
SD,O,D21,13.09¡À0.87
SD,O,D22,11.87¡À1.24
SD,O,D23,12.73¡À1.66
SD,O,D24,13.02¡À1.02
SD,O,D25,13.28¡À1.39
SD,O,D26,11.60¡À0.93
SD,O,D27,12.17¡À1.23
SD,T,D0,NaN¡ÀNA
SD,T,D1,29.31¡À4.08
SD,T,D2,29.75¡À4.89
SD,T,D3,32.51¡À6.61
SD,T,D4,33.46¡À5.78
SD,T,D5,28.16¡À5.81
SD,T,D6,29.42¡À6.01
SD,T,D7,31.08¡À5.54
SD,T,D8,32.75¡À5.54
SD,T,D9,31.48¡À6.19
SD,T,D10,32.94¡À6.70
SD,T,D11,27.56¡À6.78
SD,T,D12,26.99¡À5.74
SD,T,D13,31.25¡À7.63
SD,T,D14,NaN¡ÀNA
SD,T,D15,23.10¡À3.26
SD,T,D16,24.14¡À4.82
SD,T,D17,25.42¡À3.46
SD,T,D18,31.26¡À7.49
SD,T,D19,30.38¡À5.04
SD,T,D20,30.02¡À5.10
SD,T,D21,28.25¡À6.22
SD,T,D22,29.20¡À4.61
SD,T,D23,29.40¡À4.02
SD,T,D24,30.18¡À5.50
SD,T,D25,27.42¡À4.52
SD,T,D26,30.42¡À5.83
SD,T,D27,32.53¡À9.97
