Fig 3A,,,
Group,Bin_name_1,Bin_name_2,average_r
O,Bin881,Bin204,0.80 
O,Bin642,Bin420,0.80 
O,Bin642,Bin203,0.61 
O,Bin420,Bin203,0.61 
O,Bin457,Bin370,0.56 
O,Bin457,Bin334,0.64 
O,Bin457,Bin244,0.61 
O,Bin457,Bin229,0.67 
O,Bin457,Bin219,0.64 
O,Bin457,Bin193,0.70 
O,Bin226,Bin221,0.78 
O,Bin226,Bin190,0.68 
O,Bin306,Bin253,0.74 
O,Bin306,Bin193,0.64 
O,Bin306,Bin185,0.67 
O,Bin219,Bin217,0.63 
O,Bin219,Bin181,0.65 
O,Bin290,Bin286,0.66 
O,Bin290,Bin177,0.62 
O,Bin1077,Bin992,0.90 
O,Bin1077,Bin914,0.77 
O,Bin1077,Bin911,0.67 
O,Bin1077,Bin834,0.78 
O,Bin1077,Bin719,0.80 
O,Bin1077,Bin539,0.59 
O,Bin1077,Bin493,0.59 
O,Bin1077,Bin458,0.89 
O,Bin1077,Bin375,0.84 
O,Bin1077,Bin278,0.85 
O,Bin1077,Bin176,0.78 
O,Bin992,Bin914,0.78 
O,Bin992,Bin397,0.81 
O,Bin992,Bin278,0.86 
O,Bin992,Bin176,0.75 
O,Bin618,Bin539,0.64 
O,Bin618,Bin535,0.71 
O,Bin618,Bin521,0.67 
O,Bin618,Bin506,0.64 
O,Bin618,Bin504,0.74 
O,Bin618,Bin497,0.56 
O,Bin618,Bin465,0.73 
O,Bin618,Bin458,0.70 
O,Bin618,Bin452,0.69 
O,Bin618,Bin418,0.64 
O,Bin618,Bin367,0.97 
O,Bin618,Bin313,0.70 
O,Bin618,Bin278,0.66 
O,Bin618,Bin273,0.57 
O,Bin618,Bin176,0.66 
O,Bin397,Bin375,0.79 
O,Bin397,Bin367,0.67 
O,Bin397,Bin278,0.82 
O,Bin397,Bin192,0.66 
O,Bin397,Bin176,0.70 
O,Bin192,Bin176,0.74 
O,Bin889,Bin880,0.76 
O,Bin889,Bin867,0.75 
O,Bin889,Bin847,0.62 
O,Bin889,Bin372,0.64 
O,Bin889,Bin318,0.72 
O,Bin889,Bin239,0.70 
O,Bin889,Bin171,0.73 
O,Bin729,Bin542,0.66 
O,Bin729,Bin302,0.65 
O,Bin729,Bin256,0.56 
O,Bin729,Bin171,0.66 
O,Bin721,Bin542,0.59 
O,Bin721,Bin302,0.53 
O,Bin721,Bin257,0.70 
O,Bin721,Bin208,0.83 
O,Bin721,Bin171,0.76 
O,Bin846,Bin170,0.83 
O,Bin890,Bin775,0.63 
O,Bin890,Bin774,0.72 
O,Bin890,Bin438,0.57 
O,Bin890,Bin415,0.60 
O,Bin890,Bin334,0.65 
O,Bin890,Bin244,0.75 
O,Bin890,Bin169,0.70 
O,Bin1055,Bin1032,0.64 
O,Bin1055,Bin1003,0.68 
O,Bin1055,Bin915,0.57 
O,Bin1055,Bin908,0.62 
O,Bin1055,Bin806,0.59 
O,Bin1055,Bin717,0.71 
O,Bin1055,Bin691,0.73 
O,Bin1055,Bin619,0.66 
O,Bin1055,Bin604,0.69 
O,Bin1055,Bin591,0.56 
O,Bin1055,Bin585,0.54 
O,Bin1055,Bin580,0.61 
O,Bin1055,Bin497,0.67 
O,Bin1055,Bin385,0.77 
O,Bin1055,Bin374,0.62 
O,Bin1055,Bin299,0.55 
O,Bin1055,Bin276,0.64 
O,Bin1055,Bin259,0.66 
O,Bin1055,Bin162,0.60 
O,Bin450,Bin417,0.72 
O,Bin450,Bin386,0.64 
O,Bin450,Bin271,0.64 
O,Bin450,Bin160,0.68 
O,Bin391,Bin152,0.65 
O,Bin976,Bin900,0.57 
O,Bin976,Bin891,0.77 
O,Bin976,Bin830,0.62 
O,Bin976,Bin798,0.68 
O,Bin976,Bin768,0.80 
O,Bin976,Bin722,0.67 
O,Bin976,Bin669,0.69 
O,Bin976,Bin652,0.57 
O,Bin976,Bin620,0.62 
O,Bin976,Bin560,0.64 
O,Bin976,Bin538,0.70 
O,Bin976,Bin523,0.58 
O,Bin976,Bin431,0.75 
O,Bin976,Bin402,0.71 
O,Bin976,Bin353,0.65 
O,Bin976,Bin327,0.65 
O,Bin976,Bin150,0.63 
O,Bin891,Bin830,0.57 
O,Bin891,Bin801,0.65 
O,Bin891,Bin798,0.72 
O,Bin891,Bin768,0.66 
O,Bin891,Bin756,0.58 
O,Bin891,Bin722,0.64 
O,Bin891,Bin669,0.66 
O,Bin891,Bin652,0.61 
O,Bin891,Bin633,0.54 
O,Bin891,Bin620,0.63 
O,Bin891,Bin608,0.65 
O,Bin891,Bin560,0.64 
O,Bin891,Bin545,0.51 
O,Bin891,Bin538,0.80 
O,Bin891,Bin431,0.66 
O,Bin891,Bin402,0.67 
O,Bin891,Bin359,0.58 
O,Bin891,Bin353,0.72 
O,Bin891,Bin327,0.76 
O,Bin891,Bin285,0.54 
O,Bin891,Bin150,0.61 
O,Bin756,Bin560,0.58 
O,Bin756,Bin327,0.66 
O,Bin756,Bin150,0.58 
O,Bin728,Bin727,0.71 
O,Bin728,Bin694,0.66 
O,Bin728,Bin629,0.75 
O,Bin728,Bin595,0.69 
O,Bin728,Bin530,0.64 
O,Bin728,Bin492,0.61 
O,Bin728,Bin386,0.62 
O,Bin728,Bin146,0.60 
O,Bin750,Bin145,0.82 
O,Bin286,Bin140,0.70 
O,Bin810,Bin808,0.69 
O,Bin810,Bin784,0.68 
O,Bin810,Bin692,0.63 
O,Bin810,Bin686,0.60 
O,Bin810,Bin668,0.60 
O,Bin810,Bin624,0.62 
O,Bin810,Bin558,0.65 
O,Bin810,Bin146,0.55 
O,Bin810,Bin139,0.64 
O,Bin186,Bin137,0.80 
O,Bin1017,Bin1009,0.71 
O,Bin1017,Bin755,0.76 
O,Bin1017,Bin263,0.74 
O,Bin1017,Bin148,0.59 
O,Bin1017,Bin134,0.59 
O,Bin997,Bin134,0.67 
O,Bin928,Bin857,0.78 
O,Bin928,Bin755,0.77 
O,Bin928,Bin670,0.71 
O,Bin928,Bin345,0.70 
O,Bin928,Bin263,0.79 
O,Bin928,Bin224,0.69 
O,Bin928,Bin134,0.84 
O,Bin148,Bin134,0.77 
O,Bin137,Bin133,0.62 
O,Bin746,Bin656,0.91 
O,Bin746,Bin401,0.84 
O,Bin746,Bin382,0.79 
O,Bin746,Bin279,0.86 
O,Bin746,Bin130,0.83 
