CAG,dayD14,dayD15,dayD16,dayD17,dayD18,dayD19,dayD20,dayD21,dayD22,dayD23,dayD24,dayD25,dayD26,dayD27
O_CAG75,0.46 ,0.48 ,0.68 ,0.60 ,0.55 ,0.07 ,0.57 ,0.37 ,0.89 ,0.74 ,0.22 ,0.81 ,0.87 ,0.28 
O_CAG69,0.76 ,0.44 ,0.93 ,0.13 ,0.30 ,0.06 ,0.24 ,0.76 ,0.19 ,0.71 ,0.64 ,0.85 ,0.63 ,0.24 
O_CAG61,0.03 ,0.57 ,0.86 ,0.28 ,0.24 ,0.28 ,0.36 ,0.35 ,0.53 ,0.62 ,0.14 ,0.14 ,1.00 ,0.30 
O_CAG59,0.67 ,0.34 ,0.97 ,0.95 ,0.84 ,0.50 ,0.92 ,0.55 ,0.94 ,0.93 ,0.53 ,0.42 ,0.82 ,0.54 
O_CAG55,0.21 ,0.98 ,0.56 ,0.05 ,0.94 ,0.55 ,0.66 ,0.88 ,0.60 ,0.87 ,0.49 ,0.56 ,0.25 ,0.10 
O_CAG26,0.28 ,0.67 ,0.95 ,0.22 ,0.80 ,0.38 ,0.61 ,0.65 ,0.34 ,0.78 ,0.81 ,0.54 ,0.53 ,0.22 
O_CAG73,0.58 ,0.75 ,0.99 ,0.39 ,0.57 ,0.51 ,0.55 ,0.21 ,0.82 ,0.26 ,0.13 ,0.10 ,0.48 ,0.35 
O_CAG66,0.49 ,0.67 ,0.73 ,0.90 ,0.91 ,0.61 ,0.95 ,0.53 ,0.73 ,0.33 ,0.45 ,0.21 ,0.55 ,0.77 
O_CAG71,0.46 ,0.92 ,0.52 ,0.42 ,0.73 ,0.45 ,0.84 ,0.49 ,0.97 ,0.61 ,0.16 ,0.34 ,0.74 ,0.53 
O_CAG78,0.59 ,0.19 ,0.17 ,0.10 ,0.05 ,0.25 ,0.84 ,0.33 ,0.45 ,0.03 ,0.02 ,0.01 ,0.01 ,0.12 
O_CAG63,0.80 ,0.80 ,0.48 ,0.46 ,0.82 ,0.84 ,0.83 ,0.62 ,0.57 ,0.40 ,0.11 ,0.22 ,0.39 ,0.29 
O_CAG32,0.52 ,0.44 ,0.05 ,0.84 ,0.36 ,0.71 ,0.85 ,0.44 ,0.40 ,0.74 ,0.42 ,0.25 ,0.48 ,0.56 
O_CAG31,0.81 ,0.48 ,0.28 ,0.46 ,0.94 ,0.52 ,0.55 ,0.50 ,0.50 ,0.78 ,0.34 ,0.24 ,0.58 ,0.82 
O_CAG29,0.59 ,0.87 ,0.44 ,0.86 ,0.70 ,0.57 ,0.80 ,0.76 ,0.29 ,0.86 ,0.32 ,0.57 ,0.51 ,0.84 
O_CAG30,0.18 ,0.12 ,0.07 ,0.58 ,0.22 ,0.12 ,0.82 ,0.82 ,0.45 ,0.60 ,0.72 ,0.27 ,0.48 ,0.54 
O_CAG76,0.38 ,0.24 ,0.30 ,0.86 ,0.60 ,0.35 ,0.40 ,0.90 ,0.44 ,0.79 ,0.57 ,0.45 ,0.91 ,0.62 
O_CAG62,1.00 ,0.65 ,0.71 ,0.52 ,0.72 ,0.66 ,0.94 ,0.74 ,0.29 ,0.95 ,0.90 ,0.82 ,0.26 ,0.99 
O_CAG54,0.81 ,0.73 ,0.99 ,0.12 ,0.38 ,0.92 ,0.10 ,0.38 ,0.22 ,0.36 ,0.49 ,0.02 ,0.76 ,0.52 
O_CAG48,0.35 ,0.69 ,0.73 ,0.70 ,0.99 ,0.45 ,0.86 ,0.90 ,0.15 ,0.17 ,0.43 ,0.88 ,0.60 ,0.61 
