CAG,log2FoldChange,pvalue
O_CAG13,-1.83,0.02
O_CAG37,1.14,0.04
O_CAG38,3.91,0
O_CAG39,1.98,0.01
O_CAG42,2.01,0.01
O_CAG5,-1.08,0.03
O_CAG52,-1.29,0.02
O_CAG53,1.51,0.03
O_CAG61,1.41,0.05
O_CAG78,1.13,0.02
O_CAG9,-0.62,0.05
