Sub,group,ClusterA,ClusterB,ClusterC,ClusterD,ClusterE,ClusterF,ClusterG,ClusterH
cellulose,T,-1.25 ,-0.59 ,-0.35 ,-0.44 ,-0.03 ,1.17 ,-0.33 ,1.82 
inulin,T,-0.75 ,-0.74 ,-1.16 ,-0.98 ,0.52 ,1.24 ,1.05 ,0.82 
mucin,T,0.30 ,1.02 ,1.48 ,-1.19 ,-0.25 ,-0.34 ,-1.39 ,0.38 
pectin,T,1.66 ,-0.08 ,0.52 ,1.00 ,-0.28 ,-1.25 ,-0.57 ,-1.00 
starch,T,-0.85 ,-0.66 ,-1.45 ,-0.18 ,1.03 ,0.90 ,-0.14 ,1.34 
Sucrose Fructans,T,-0.64 ,-0.74 ,-1.04 ,-0.91 ,0.19 ,0.70 ,1.77 ,0.69 
Dextran,T,-0.30 ,-0.37 ,-0.32 ,-0.54 ,-0.53 ,-0.57 ,2.39 ,0.24 
