Sub,group,mw_up_down,mw_up_no,mw_down_no
cellulose,O,0.01 ,0.21 ,0.87 
inulin,O,0.00 ,0.15 ,0.34 
pectin,O,0.01 ,0.65 ,0.02 
starch,O,0.00 ,0.00 ,0.33 
Peptidoglycan,O,0.25 ,0.03 ,0.39 
Sucrose Fructans,O,0.00 ,0.14 ,0.36 
